Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
Pb major,Cu minor,Archaeo,Pb mine,LESC 6,Bulgaria,,Lesovo,Lesovo,,,Churachke Dere,41.9946743,26.5729018,galena,2.09171,0.85162,18.371,15.645,38.427,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,LESC 4,Bulgaria,,Lesovo,Lesovo,,,Churachke Dere,41.9946743,26.5729018,galena,2.09175,0.85152,18.379,15.65,38.444,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,LESC 2,Bulgaria,,Lesovo,Lesovo,,,Churachke Dere,41.9946743,26.5729018,galena,2.09216,0.85164,18.377,15.651,38.448,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,LESC 3,Bulgaria,,Lesovo,Lesovo,,,Churachke Dere,41.9946743,26.5729018,galena,2.0926,0.85186,18.373,15.651,38.447,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,No Cu,Archaeo,Pb mine,LES 1,Bulgaria,,Lesovo,Lesovo,,Ustremski / Lesovo,Arabio,41.9946743,26.5729018,galena,2.08936,0.85124,18.346,15.617,38.331,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,No Cu,Archaeo,Pb mine,LES 4,Bulgaria,,Lesovo,Lesovo,,Ustremski / Lesovo,Arabio,41.9946743,26.5729018,galena,2.09081,0.85142,18.367,15.638,38.402,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,No Cu,Archaeo,Pb mine,LES 2,Bulgaria,,Lesovo,Lesovo,,Ustremski / Lesovo,Arabio,41.9946743,26.5729018,galena,2.09301,0.85194,18.381,15.66,38.472,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,No Cu,Archaeo,Pb mine,LES 5,Bulgaria,,Lesovo,Lesovo,,Ustremski / Lesovo,Arabio,41.9946743,26.5729018,galena,2.09322,0.85194,18.389,15.666,38.492,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,No Cu,Archaeo,Pb mine,LES 6,Bulgaria,,Lesovo,Lesovo,,Ustremski / Lesovo,Arabio,41.9946743,26.5729018,galena,2.09541,0.8523,18.408,15.689,38.572,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,No Cu,Archaeo,Pb mine,LES 3,Bulgaria,,Lesovo,Lesovo,,Ustremski / Lesovo,Arabio,41.9946743,26.5729018,galena,2.09573,0.85243,18.402,15.686,38.566,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,,BUL29,Bulgaria,,,Malko Tarnovo,,South East,Malko Tarnovo-Cu,41.9797938,27.5250475,Chalcopyrite,2.0733,0.840111,18.6263,15.6481595193,38.61790779,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
