Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
Pb minor,Cu major,Archaeo,Massive sulphide and porphyry copper deposits,,Bulgaria,,Panagyurishte ore district,Panagyurski,,River Maritsa catchment,Vlaikov Vruh (2)c,42.5043,24.1888,,2.0743739610703,0.837095822832323,18.649,15.611,38.685,"Bird et al., 2010","Bird, G., Brewer, P.A., Macklin, M.G., Nikolova, M., Kotsev, T., Mollov, M., Swain, C., 2010. Quantifying sediment-associated metal dispersal using Pb isotopes: Application of binary and multivariate mixing models at the catchment-scale. Environmental Pollution, Advances of air pollution science: from forest decline to multiple-stress effects on forest ecosystem services 158, 2158-2169. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.05914813822663,0.833645861237611,18.665,15.56,38.434,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.06714486031712,0.838960198468342,18.542,15.556,38.329,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.05430104670315,0.831358588810371,18.821,15.647,38.664,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.05737922256987,0.828551731452511,18.857,15.624,38.796,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.06922377360509,0.836997806665597,18.693,15.646,38.68,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.08121992105121,0.843670578056562,18.493,15.602,38.488,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.0788153422884,0.842153530776285,18.537,15.611,38.535,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.07385143838557,0.838127951910691,18.632,15.616,38.64,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.07811237407747,0.839950439045413,18.563,15.592,38.576,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.07920365886468,0.838740920096852,18.585,15.588,38.642,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.07704697986577,0.837261744966443,18.625,15.594,38.685,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.06528315906799,0.830582240857704,18.841,15.649,38.912,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
Pb minor,Cu major,Geol,porphyry Cu-Au deposit,,Bulgaria,,"Elatsite porphyry Cu-Au deposit, ",Panagyurski,,,Elatsite,42.6116758424373,23.03261456408039,,2.0639424094855,0.827916578445903,18.892,15.641,38.992,"von Quadt et al., 2005","Von Quadt, A., Peytcheva, I., Fanger, L., Heinrich, C.A., 2005. The Elatsite porphyry Cu-Au deposit, Bulgaria: Ore deposit: Lat. 42¯ 45' N, Long. 24¯ 02' E. Ore Geology Reviews 27, 128-129. "
